Question,Answer,Encoder Inputs,Decoder Inputs,Decoder Targets,Question Length,Answer Length
"that's sad, but have you gone to the movies recently?",that's a switch.,"that ' s sad , but have you gone to the movies recently ?",<sos> that ' s a switch . <eos>,that ' s a switch . <eos>,57,31
that's a switch.,"i'm serious, have you?",that ' s a switch .,"<sos> i ' m serious , have you ? <eos>","i ' m serious , have you ? <eos>",19,38
"i'm serious, have you?","no, i haven't. why?","i ' m serious , have you ?","<sos> no , i haven ' t . why ? <eos>","no , i haven ' t . why ? <eos>",26,36
"no, i haven't. why?",i really want to go to the movies this weekend.,"no , i haven ' t . why ?",<sos> i really want to go to the movies this weekend . <eos>,i really want to go to the movies this weekend . <eos>,24,60
i really want to go to the movies this weekend.,so go then.,i really want to go to the movies this weekend .,<sos> so go then . <eos>,so go then . <eos>,48,24
so go then.,i really don't want to go by myself.,so go then .,<sos> i really don ' t want to go by myself . <eos>,i really don ' t want to go by myself . <eos>,12,51
i really don't want to go by myself.,"well anyway, do you plan on going to school tomorrow?",i really don ' t want to go by myself .,"<sos> well anyway , do you plan on going to school tomorrow ? <eos>","well anyway , do you plan on going to school tomorrow ? <eos>",39,67
"well anyway, do you plan on going to school tomorrow?","no, i think i'm going to go to the movies.","well anyway , do you plan on going to school tomorrow ?","<sos> no , i think i ' m going to go to the movies . <eos>","no , i think i ' m going to go to the movies . <eos>",55,58
did you make it to school today?,i always do. did you go to school today?,did you make it to school today ?,<sos> i always do . did you go to school today ? <eos>,i always do . did you go to school today ? <eos>,33,54
i always do. did you go to school today?,"no, i didn't.",i always do . did you go to school today ?,"<sos> no , i didn ' t . <eos>","no , i didn ' t . <eos>",42,29
"no, i didn't.","you should have, but have you seen any movies lately?","no , i didn ' t .","<sos> you should have , but have you seen any movies lately ? <eos>","you should have , but have you seen any movies lately ? <eos>",17,67
"you should have, but have you seen any movies lately?",that was an odd change of subject.,"you should have , but have you seen any movies lately ?",<sos> that was an odd change of subject . <eos>,that was an odd change of subject . <eos>,55,47
that was an odd change of subject.,"maybe it was, but answer the question.",that was an odd change of subject .,"<sos> maybe it was , but answer the question . <eos>","maybe it was , but answer the question . <eos>",35,52
"maybe it was, but answer the question.","no, not recently.","maybe it was , but answer the question .","<sos> no , not recently . <eos>","no , not recently . <eos>",40,31
"no, not recently.",i want to go to see a movie this weekend.,"no , not recently .",<sos> i want to go to see a movie this weekend . <eos>,i want to go to see a movie this weekend . <eos>,19,54
i want to go to see a movie this weekend.,what's stopping you then?,i want to go to see a movie this weekend .,<sos> what ' s stopping you then ? <eos>,what ' s stopping you then ? <eos>,42,40
what's stopping you then?,i don't want to go alone.,what ' s stopping you then ?,<sos> i don ' t want to go alone . <eos>,i don ' t want to go alone . <eos>,28,40
i don't want to go alone.,"so, will you be at school tomorrow?",i don ' t want to go alone .,"<sos> so , will you be at school tomorrow ? <eos>","so , will you be at school tomorrow ? <eos>",28,49
"so, will you be at school tomorrow?","no, i want to go to the movies instead.","so , will you be at school tomorrow ?","<sos> no , i want to go to the movies instead . <eos>","no , i want to go to the movies instead . <eos>",37,53
did you even bother to go to school today?,"yeah, i went. did you go?",did you even bother to go to school today ?,"<sos> yeah , i went . did you go ? <eos>","yeah , i went . did you go ? <eos>",43,40
"yeah, i went. did you go?","no, i didn't feel like it.","yeah , i went . did you go ?","<sos> no , i didn ' t feel like it . <eos>","no , i didn ' t feel like it . <eos>",28,42
"no, i didn't feel like it.","that's nice, have you been to the movies lately?","no , i didn ' t feel like it .","<sos> that ' s nice , have you been to the movies lately ? <eos>","that ' s nice , have you been to the movies lately ? <eos>",30,64
"that's nice, have you been to the movies lately?","no, but that was a random change of subject.","that ' s nice , have you been to the movies lately ?","<sos> no , but that was a random change of subject . <eos>","no , but that was a random change of subject . <eos>",52,58
"no, but that was a random change of subject.","it may have been random, but have you?","no , but that was a random change of subject .","<sos> it may have been random , but have you ? <eos>","it may have been random , but have you ? <eos>",46,52
"it may have been random, but have you?",i haven't lately.,"it may have been random , but have you ?",<sos> i haven ' t lately . <eos>,i haven ' t lately . <eos>,40,32
i haven't lately.,i would love to catch a movie this weekend.,i haven ' t lately .,<sos> i would love to catch a movie this weekend . <eos>,i would love to catch a movie this weekend . <eos>,20,56
i would love to catch a movie this weekend.,"so then, why don't you just go?",i would love to catch a movie this weekend .,"<sos> so then , why don ' t you just go ? <eos>","so then , why don ' t you just go ? <eos>",44,47
"so then, why don't you just go?",i don't want to see a movie by myself.,"so then , why don ' t you just go ?",<sos> i don ' t want to see a movie by myself . <eos>,i don ' t want to see a movie by myself . <eos>,35,53
i don't want to see a movie by myself.,"okay, so are you going to school tomorrow?",i don ' t want to see a movie by myself .,"<sos> okay , so are you going to school tomorrow ? <eos>","okay , so are you going to school tomorrow ? <eos>",41,56
thanks for coming to see me today.,it's no problem. i was really missing you anyway.,thanks for coming to see me today .,<sos> it ' s no problem . i was really missing you anyway . <eos>,it ' s no problem . i was really missing you anyway . <eos>,35,65
it's no problem. i was really missing you anyway.,i missed you too.,it ' s no problem . i was really missing you anyway .,<sos> i missed you too . <eos>,i missed you too . <eos>,53,30
i missed you too.,why haven't you tried to come see me then?,i missed you too .,<sos> why haven ' t you tried to come see me then ? <eos>,why haven ' t you tried to come see me then ? <eos>,18,57
why haven't you tried to come see me then?,i've been really busy.,why haven ' t you tried to come see me then ?,<sos> i ' ve been really busy . <eos>,i ' ve been really busy . <eos>,45,37
i've been really busy.,doing what?,i ' ve been really busy .,<sos> doing what ? <eos>,doing what ? <eos>,25,24
doing what?,working.,doing what ?,<sos> working . <eos>,working . <eos>,12,21
working.,"i would've come to see you sooner, but i've been busy too.",working .,"<sos> i would ' ve come to see you sooner , but i ' ve been busy too . <eos>","i would ' ve come to see you sooner , but i ' ve been busy too . <eos>",9,76
"i would've come to see you sooner, but i've been busy too.",what have you been doing?,"i would ' ve come to see you sooner , but i ' ve been busy too .",<sos> what have you been doing ? <eos>,what have you been doing ? <eos>,64,38
what have you been doing?,i've been working too.,what have you been doing ?,<sos> i ' ve been working too . <eos>,i ' ve been working too . <eos>,26,37
i've been working too.,"well regardless, i'm very happy that you came to see me.",i ' ve been working too .,"<sos> well regardless , i ' m very happy that you came to see me . <eos>","well regardless , i ' m very happy that you came to see me . <eos>",25,72
"well regardless, i'm very happy that you came to see me.",i am too.,"well regardless , i ' m very happy that you came to see me .",<sos> i am too . <eos>,i am too . <eos>,60,22
i'm really glad that you came to see me.,i had to. i was missing you a lot.,i ' m really glad that you came to see me .,<sos> i had to . i was missing you a lot . <eos>,i had to . i was missing you a lot . <eos>,43,48
i had to. i was missing you a lot.,i was missing you too.,i had to . i was missing you a lot .,<sos> i was missing you too . <eos>,i was missing you too . <eos>,36,35
i was missing you too.,"so, why haven't you visited me?",i was missing you too .,"<sos> so , why haven ' t you visited me ? <eos>","so , why haven ' t you visited me ? <eos>",23,47
"so, why haven't you visited me?",i've actually been busy lately.,"so , why haven ' t you visited me ?",<sos> i ' ve actually been busy lately . <eos>,i ' ve actually been busy lately . <eos>,35,46
i've actually been busy lately.,what have you been doing?,i ' ve actually been busy lately .,<sos> what have you been doing ? <eos>,what have you been doing ? <eos>,34,38
what have you been doing?,i've just been working really hard.,what have you been doing ?,<sos> i ' ve just been working really hard . <eos>,i ' ve just been working really hard . <eos>,26,50
i've just been working really hard.,i've also been busy.,i ' ve just been working really hard .,<sos> i ' ve also been busy . <eos>,i ' ve also been busy . <eos>,38,35
i've also been busy.,tell me what you've been doing.,i ' ve also been busy .,<sos> tell me what you ' ve been doing . <eos>,tell me what you ' ve been doing . <eos>,23,46
tell me what you've been doing.,"basically, i've been working too.",tell me what you ' ve been doing .,"<sos> basically , i ' ve been working too . <eos>","basically , i ' ve been working too . <eos>",34,49
"basically, i've been working too.","well whatever, i'm glad you came.","basically , i ' ve been working too .","<sos> well whatever , i ' m glad you came . <eos>","well whatever , i ' m glad you came . <eos>",37,49
"well whatever, i'm glad you came.",so am i.,"well whatever , i ' m glad you came .",<sos> so am i . <eos>,so am i . <eos>,37,21
i'm really happy that you came to visit me.,i really missed you a lot.,i ' m really happy that you came to visit me .,<sos> i really missed you a lot . <eos>,i really missed you a lot . <eos>,46,39
i really missed you a lot.,i've been missing you like crazy.,i really missed you a lot .,<sos> i ' ve been missing you like crazy . <eos>,i ' ve been missing you like crazy . <eos>,27,48
i've been missing you like crazy.,i don't understand why you haven't come to visit me.,i ' ve been missing you like crazy .,<sos> i don ' t understand why you haven ' t come to visit me . <eos>,i don ' t understand why you haven ' t come to visit me . <eos>,36,69
i don't understand why you haven't come to visit me.,"lately, i've been quite busy.",i don ' t understand why you haven ' t come to visit me .,"<sos> lately , i ' ve been quite busy . <eos>","lately , i ' ve been quite busy . <eos>",57,45
"lately, i've been quite busy.",tell me what you've been up to.,"lately , i ' ve been quite busy .",<sos> tell me what you ' ve been up to . <eos>,tell me what you ' ve been up to . <eos>,33,46
tell me what you've been up to.,i've really been working a lot lately.,tell me what you ' ve been up to .,<sos> i ' ve really been working a lot lately . <eos>,i ' ve really been working a lot lately . <eos>,34,53
i've really been working a lot lately.,i've been pretty busy myself.,i ' ve really been working a lot lately .,<sos> i ' ve been pretty busy myself . <eos>,i ' ve been pretty busy myself . <eos>,41,44
i've been pretty busy myself.,so what have you been up to?,i ' ve been pretty busy myself .,<sos> so what have you been up to ? <eos>,so what have you been up to ? <eos>,32,41
so what have you been up to?,i've just been working a lot.,so what have you been up to ?,<sos> i ' ve just been working a lot . <eos>,i ' ve just been working a lot . <eos>,29,44
i've just been working a lot.,"whatever the reason may be, i'm glad you visited me.",i ' ve just been working a lot .,"<sos> whatever the reason may be , i ' m glad you visited me . <eos>","whatever the reason may be , i ' m glad you visited me . <eos>",32,68
"hey, did you hear about jessica's party this weekend?","yeah, but i'm still waiting for my invitation.","hey , did you hear about jessica ' s party this weekend ?","<sos> yeah , but i ' m still waiting for my invitation . <eos>","yeah , but i ' m still waiting for my invitation . <eos>",57,62
"yeah, but i'm still waiting for my invitation.",oh really? she gave me mine earlier today.,"yeah , but i ' m still waiting for my invitation .",<sos> oh really ? she gave me mine earlier today . <eos>,oh really ? she gave me mine earlier today . <eos>,50,56
oh really? she gave me mine earlier today.,"well, she'll probably just give me my invitation later on today.",oh really ? she gave me mine earlier today .,"<sos> well , she ' ll probably just give me my invitation later on today . <eos>","well , she ' ll probably just give me my invitation later on today . <eos>",44,80
"well, she'll probably just give me my invitation later on today.","yeah, so are you planning on going?","well , she ' ll probably just give me my invitation later on today .","<sos> yeah , so are you planning on going ? <eos>","yeah , so are you planning on going ? <eos>",68,49
"yeah, so are you planning on going?",i think so. it sounds like it's going to be a lot of fun.,"yeah , so are you planning on going ?",<sos> i think so . it sounds like it ' s going to be a lot of fun . <eos>,i think so . it sounds like it ' s going to be a lot of fun . <eos>,37,73
i think so. it sounds like it's going to be a lot of fun.,"it really does, i can't wait.",i think so . it sounds like it ' s going to be a lot of fun .,"<sos> it really does , i can ' t wait . <eos>","it really does , i can ' t wait . <eos>",61,45
"it really does, i can't wait.",what time does the party start?,"it really does , i can ' t wait .",<sos> what time does the party start ? <eos>,what time does the party start ? <eos>,33,44
what time does the party start?,it starts at 8 o'clock.,what time does the party start ?,<sos> it starts at o ' clock . <eos>,it starts at o ' clock . <eos>,32,36
it starts at 8 o'clock.,"oh, well, how many people has she given invites to so far?",it starts at o ' clock .,"<sos> oh , well , how many people has she given invites to so far ? <eos>","oh , well , how many people has she given invites to so far ? <eos>",24,73
"oh, well, how many people has she given invites to so far?","i'm not sure, but i don't think she's given out that many.","oh , well , how many people has she given invites to so far ?","<sos> i ' m not sure , but i don ' t think she ' s given out that many . <eos>","i ' m not sure , but i don ' t think she ' s given out that many . <eos>",61,78
"i'm not sure, but i don't think she's given out that many.","well, hopefully she'll give me my invite later on today.","i ' m not sure , but i don ' t think she ' s given out that many .","<sos> well , hopefully she ' ll give me my invite later on today . <eos>","well , hopefully she ' ll give me my invite later on today . <eos>",66,72
have you heard about jessica's party on saturday?,"i've heard about it, but i'm still waiting for my invitation.",have you heard about jessica ' s party on saturday ?,"<sos> i ' ve heard about it , but i ' m still waiting for my invitation . <eos>","i ' ve heard about it , but i ' m still waiting for my invitation . <eos>",52,79
"i've heard about it, but i'm still waiting for my invitation.",really? i got mine from her this morning.,"i ' ve heard about it , but i ' m still waiting for my invitation .",<sos> really ? i got mine from her this morning . <eos>,really ? i got mine from her this morning . <eos>,67,55
really? i got mine from her this morning.,i'm guessing that she's going to give me my invite today or tomorrow.,really ? i got mine from her this morning .,<sos> i ' m guessing that she ' s going to give me my invite today or tomorrow . <eos>,i ' m guessing that she ' s going to give me my invite today or tomorrow . <eos>,43,86
i'm guessing that she's going to give me my invite today or tomorrow.,"you're probably right, do you intend on going to the party?",i ' m guessing that she ' s going to give me my invite today or tomorrow .,"<sos> you ' re probably right , do you intend on going to the party ? <eos>","you ' re probably right , do you intend on going to the party ? <eos>",74,75
"you're probably right, do you intend on going to the party?",i want to. i heard it's going to be really fun.,"you ' re probably right , do you intend on going to the party ?",<sos> i want to . i heard it ' s going to be really fun . <eos>,i want to . i heard it ' s going to be really fun . <eos>,63,63
i want to. i heard it's going to be really fun.,"i know, it does sound pretty awesome.",i want to . i heard it ' s going to be really fun .,"<sos> i know , it does sound pretty awesome . <eos>","i know , it does sound pretty awesome . <eos>",51,51
"i know, it does sound pretty awesome.","well, when does the party start?","i know , it does sound pretty awesome .","<sos> well , when does the party start ? <eos>","well , when does the party start ? <eos>",39,46
"well, when does the party start?",it's supposed to start at about eight.,"well , when does the party start ?",<sos> it ' s supposed to start at about eight . <eos>,it ' s supposed to start at about eight . <eos>,34,53
it's supposed to start at about eight.,how many invitations has she given out?,it ' s supposed to start at about eight .,<sos> how many invitations has she given out ? <eos>,how many invitations has she given out ? <eos>,41,52
how many invitations has she given out?,"i really don't know, but i don't think she gave out that many yet.",how many invitations has she given out ?,"<sos> i really don ' t know , but i don ' t think she gave out that many yet . <eos>","i really don ' t know , but i don ' t think she gave out that many yet . <eos>",40,84
"i really don't know, but i don't think she gave out that many yet.","i really want to go, so i hope that she gives me my invite soon.","i really don ' t know , but i don ' t think she gave out that many yet .","<sos> i really want to go , so i hope that she gives me my invite soon . <eos>","i really want to go , so i hope that she gives me my invite soon . <eos>",72,78
has anyone told you about jessica's party coming up?,i was told about it already. i'm just waiting for my invitation.,has anyone told you about jessica ' s party coming up ?,<sos> i was told about it already . i ' m just waiting for my invitation . <eos>,i was told about it already . i ' m just waiting for my invitation . <eos>,55,80
i was told about it already. i'm just waiting for my invitation.,is that right? i already got my invitation from her earlier.,i was told about it already . i ' m just waiting for my invitation .,<sos> is that right ? i already got my invitation from her earlier . <eos>,is that right ? i already got my invitation from her earlier . <eos>,68,74
is that right? i already got my invitation from her earlier.,i believe that she will give me the invitation today.,is that right ? i already got my invitation from her earlier .,<sos> i believe that she will give me the invitation today . <eos>,i believe that she will give me the invitation today . <eos>,62,66
i believe that she will give me the invitation today.,are you even going to go?,i believe that she will give me the invitation today .,<sos> are you even going to go ? <eos>,are you even going to go ? <eos>,54,38
are you even going to go?,"yeah, it sounds like it's going to be the best party of the year.",are you even going to go ?,"<sos> yeah , it sounds like it ' s going to be the best party of the year . <eos>","yeah , it sounds like it ' s going to be the best party of the year . <eos>",26,81
"yeah, it sounds like it's going to be the best party of the year.","exactly, it seems like it's going to be loads of fun.","yeah , it sounds like it ' s going to be the best party of the year .","<sos> exactly , it seems like it ' s going to be loads of fun . <eos>","exactly , it seems like it ' s going to be loads of fun . <eos>",69,69
"exactly, it seems like it's going to be loads of fun.",when exactly does the party start?,"exactly , it seems like it ' s going to be loads of fun .",<sos> when exactly does the party start ? <eos>,when exactly does the party start ? <eos>,57,47
when exactly does the party start?,the invitation says it starts at 8:00 p.m.,when exactly does the party start ?,<sos> the invitation says it starts at : p . m . <eos>,the invitation says it starts at : p . m . <eos>,35,54
the invitation says it starts at 8:00 p.m.,has she given out a lot of invitations yet?,the invitation says it starts at : p . m .,<sos> has she given out a lot of invitations yet ? <eos>,has she given out a lot of invitations yet ? <eos>,42,56
has she given out a lot of invitations yet?,"i have no idea, she hasn't given out many though.",has she given out a lot of invitations yet ?,"<sos> i have no idea , she hasn ' t given out many though . <eos>","i have no idea , she hasn ' t given out many though . <eos>",44,65
"hey, what's up?",nothing really.,"hey , what ' s up ?",<sos> nothing really . <eos>,nothing really . <eos>,19,28
nothing really.,i'm throwing a party on friday.,nothing really .,<sos> i ' m throwing a party on friday . <eos>,i ' m throwing a party on friday . <eos>,16,46
i'm throwing a party on friday.,i didn't realize that.,i ' m throwing a party on friday .,<sos> i didn ' t realize that . <eos>,i didn ' t realize that . <eos>,34,37
i didn't realize that.,you didn't?,i didn ' t realize that .,<sos> you didn ' t ? <eos>,you didn ' t ? <eos>,25,26
you didn't?,nobody has told me anything about your party.,you didn ' t ?,<sos> nobody has told me anything about your party . <eos>,nobody has told me anything about your party . <eos>,14,58
nobody has told me anything about your party.,did you want to go?,nobody has told me anything about your party .,<sos> did you want to go ? <eos>,did you want to go ? <eos>,46,32
did you want to go?,when does it start?,did you want to go ?,<sos> when does it start ? <eos>,when does it start ? <eos>,20,32
when does it start?,at 8:00 p.m.,when does it start ?,<sos> at : p . m . <eos>,at : p . m . <eos>,20,24
at 8:00 p.m.,i'll be there.,at : p . m .,<sos> i ' ll be there . <eos>,i ' ll be there . <eos>,12,29
i'll be there.,i'd better see you there.,i ' ll be there .,<sos> i ' d better see you there . <eos>,i ' d better see you there . <eos>,17,40
i'd better see you there.,of course.,i ' d better see you there .,<sos> of course . <eos>,of course . <eos>,28,23
what's going on with you?,fine. what's going on with you?,what ' s going on with you ?,<sos> fine . what ' s going on with you ? <eos>,fine . what ' s going on with you ? <eos>,28,47
fine. what's going on with you?,i'm having a party this friday.,fine . what ' s going on with you ?,<sos> i ' m having a party this friday . <eos>,i ' m having a party this friday . <eos>,35,46
i'm having a party this friday.,i had no idea.,i ' m having a party this friday .,<sos> i had no idea . <eos>,i had no idea . <eos>,34,27
i had no idea.,is that right?,i had no idea .,<sos> is that right ? <eos>,is that right ? <eos>,15,27
is that right?,i didn't hear anything about it.,is that right ?,<sos> i didn ' t hear anything about it . <eos>,i didn ' t hear anything about it . <eos>,15,47
i didn't hear anything about it.,can you go?,i didn ' t hear anything about it .,<sos> can you go ? <eos>,can you go ? <eos>,35,24
can you go?,what time?,can you go ?,<sos> what time ? <eos>,what time ? <eos>,12,23
what time?,it starts at 8 o'clock.,what time ?,<sos> it starts at o ' clock . <eos>,it starts at o ' clock . <eos>,11,36
it starts at 8 o'clock.,i'll go.,it starts at o ' clock .,<sos> i ' ll go . <eos>,i ' ll go . <eos>,24,23
i'll go.,i hope that i'll see you there.,i ' ll go .,<sos> i hope that i ' ll see you there . <eos>,i hope that i ' ll see you there . <eos>,11,46
i hope that i'll see you there.,no doubt.,i hope that i ' ll see you there .,<sos> no doubt . <eos>,no doubt . <eos>,34,22
what's going on?,not much.,what ' s going on ?,<sos> not much . <eos>,not much . <eos>,19,22
not much.,"this friday, i'm throwing a party.",not much .,"<sos> this friday , i ' m throwing a party . <eos>","this friday , i ' m throwing a party . <eos>",10,50
"this friday, i'm throwing a party.",oh really? i didn't know that.,"this friday , i ' m throwing a party .",<sos> oh really ? i didn ' t know that . <eos>,oh really ? i didn ' t know that . <eos>,38,46
oh really? i didn't know that.,are you serious?,oh really ? i didn ' t know that .,<sos> are you serious ? <eos>,are you serious ? <eos>,34,29
are you serious?,i haven't heard anything about it.,are you serious ?,<sos> i haven ' t heard anything about it . <eos>,i haven ' t heard anything about it . <eos>,17,49
i haven't heard anything about it.,can you make it?,i haven ' t heard anything about it .,<sos> can you make it ? <eos>,can you make it ? <eos>,37,29
can you make it?,what time does it start?,can you make it ?,<sos> what time does it start ? <eos>,what time does it start ? <eos>,17,37
what time does it start?,the party starts at 8.,what time does it start ?,<sos> the party starts at . <eos>,the party starts at . <eos>,25,33
the party starts at 8.,"yeah, i think i'll go.",the party starts at .,"<sos> yeah , i think i ' ll go . <eos>","yeah , i think i ' ll go . <eos>",21,38
"yeah, i think i'll go.",am i going to see you there?,"yeah , i think i ' ll go .",<sos> am i going to see you there ? <eos>,am i going to see you there ? <eos>,26,41
what's going on?,"nothing really, you?",what ' s going on ?,"<sos> nothing really , you ? <eos>","nothing really , you ? <eos>",19,34
"nothing really, you?",i'm throwing a party next saturday.,"nothing really , you ?",<sos> i ' m throwing a party next saturday . <eos>,i ' m throwing a party next saturday . <eos>,22,50
i'm throwing a party next saturday.,is that right?,i ' m throwing a party next saturday .,<sos> is that right ? <eos>,is that right ? <eos>,38,27
is that right?,"yeah, are you going to come?",is that right ?,"<sos> yeah , are you going to come ? <eos>","yeah , are you going to come ? <eos>",15,42
"yeah, are you going to come?","i'm sorry, i can't.","yeah , are you going to come ?","<sos> i ' m sorry , i can ' t . <eos>","i ' m sorry , i can ' t . <eos>",30,37
"i'm sorry, i can't.",why not?,"i ' m sorry , i can ' t .",<sos> why not ? <eos>,why not ? <eos>,25,21
why not?,i don't really want to.,why not ?,<sos> i don ' t really want to . <eos>,i don ' t really want to . <eos>,9,38
i don't really want to.,"well, why don't you?",i don ' t really want to .,"<sos> well , why don ' t you ? <eos>","well , why don ' t you ? <eos>",26,36
"well, why don't you?",i hate going to parties.,"well , why don ' t you ?",<sos> i hate going to parties . <eos>,i hate going to parties . <eos>,24,37
i hate going to parties.,"well, that's okay.",i hate going to parties .,"<sos> well , that ' s okay . <eos>","well , that ' s okay . <eos>",25,34
"well, that's okay.","yeah, sorry.","well , that ' s okay .","<sos> yeah , sorry . <eos>","yeah , sorry . <eos>",22,26
what's up?,"nothing, how about you?",what ' s up ?,"<sos> nothing , how about you ? <eos>","nothing , how about you ? <eos>",13,37
"nothing, how about you?","next saturday, i'm going to have a party.","nothing , how about you ?","<sos> next saturday , i ' m going to have a party . <eos>","next saturday , i ' m going to have a party . <eos>",25,57
"next saturday, i'm going to have a party.","oh, really?","next saturday , i ' m going to have a party .","<sos> oh , really ? <eos>","oh , really ? <eos>",45,25
"oh, really?",you are coming?,"oh , really ?",<sos> you are coming ? <eos>,you are coming ? <eos>,13,28
you are coming?,probably not.,you are coming ?,<sos> probably not . <eos>,probably not . <eos>,16,26
probably not.,why is that?,probably not .,<sos> why is that ? <eos>,why is that ? <eos>,14,25
why is that?,i don't feel like going.,why is that ?,<sos> i don ' t feel like going . <eos>,i don ' t feel like going . <eos>,13,39
i don't feel like going.,why not?,i don ' t feel like going .,<sos> why not ? <eos>,why not ? <eos>,27,21
why not?,i really can't stand going to parties.,why not ?,<sos> i really can ' t stand going to parties . <eos>,i really can ' t stand going to parties . <eos>,9,53
i really can't stand going to parties.,"i understand, i guess.",i really can ' t stand going to parties .,"<sos> i understand , i guess . <eos>","i understand , i guess . <eos>",41,36
"i understand, i guess.",sorry about that.,"i understand , i guess .",<sos> sorry about that . <eos>,sorry about that . <eos>,24,30
what's happening?,"not a lot, what about you?",what ' s happening ?,"<sos> not a lot , what about you ? <eos>","not a lot , what about you ? <eos>",20,40
"not a lot, what about you?",i'm having a party next saturday.,"not a lot , what about you ?",<sos> i ' m having a party next saturday . <eos>,i ' m having a party next saturday . <eos>,28,48
i'm having a party next saturday.,that's nice.,i ' m having a party next saturday .,<sos> that ' s nice . <eos>,that ' s nice . <eos>,36,27
that's nice.,are you going to be there?,that ' s nice .,<sos> are you going to be there ? <eos>,are you going to be there ? <eos>,15,39
are you going to be there?,i don't think so.,are you going to be there ?,<sos> i don ' t think so . <eos>,i don ' t think so . <eos>,27,32
i don't think so.,is there a reason why?,i don ' t think so .,<sos> is there a reason why ? <eos>,is there a reason why ? <eos>,20,35
is there a reason why?,i just really don't want to go.,is there a reason why ?,<sos> i just really don ' t want to go . <eos>,i just really don ' t want to go . <eos>,23,46
i just really don't want to go.,how come?,i just really don ' t want to go .,<sos> how come ? <eos>,how come ? <eos>,34,22
how come?,i don't really like parties.,how come ?,<sos> i don ' t really like parties . <eos>,i don ' t really like parties . <eos>,10,43
i don't really like parties.,"i wish you would go, but that's okay.",i don ' t really like parties .,"<sos> i wish you would go , but that ' s okay . <eos>","i wish you would go , but that ' s okay . <eos>",31,53
what's up?,"nothing much, what's going on?",what ' s up ?,"<sos> nothing much , what ' s going on ? <eos>","nothing much , what ' s going on ? <eos>",13,46
"nothing much, what's going on?",i'm having a party this friday.,"nothing much , what ' s going on ?",<sos> i ' m having a party this friday . <eos>,i ' m having a party this friday . <eos>,34,46
i'm having a party this friday.,"oh, really? that's nice.",i ' m having a party this friday .,"<sos> oh , really ? that ' s nice . <eos>","oh , really ? that ' s nice . <eos>",34,41
"oh, really? that's nice.",i wanted to see if you wanted to come.,"oh , really ? that ' s nice .",<sos> i wanted to see if you wanted to come . <eos>,i wanted to see if you wanted to come . <eos>,29,51
i wanted to see if you wanted to come.,"this friday? sorry, i already have plans.",i wanted to see if you wanted to come .,"<sos> this friday ? sorry , i already have plans . <eos>","this friday ? sorry , i already have plans . <eos>",39,56
"this friday? sorry, i already have plans.",doing what?,"this friday ? sorry , i already have plans .",<sos> doing what ? <eos>,doing what ? <eos>,44,24
doing what?,i'm going to dinner with my family.,doing what ?,<sos> i ' m going to dinner with my family . <eos>,i ' m going to dinner with my family . <eos>,12,50
i'm going to dinner with my family.,"i really wanted you to come, but i understand.",i ' m going to dinner with my family .,"<sos> i really wanted you to come , but i understand . <eos>","i really wanted you to come , but i understand . <eos>",38,60
"i really wanted you to come, but i understand.","yeah, maybe next time.","i really wanted you to come , but i understand .","<sos> yeah , maybe next time . <eos>","yeah , maybe next time . <eos>",48,36
"yeah, maybe next time.",i'll hold you to that.,"yeah , maybe next time .",<sos> i ' ll hold you to that . <eos>,i ' ll hold you to that . <eos>,24,37
i'll hold you to that.,sounds like a plan.,i ' ll hold you to that .,<sos> sounds like a plan . <eos>,sounds like a plan . <eos>,25,32
"hey, what's good with you?",not a lot. what about you?,"hey , what ' s good with you ?",<sos> not a lot . what about you ? <eos>,not a lot . what about you ? <eos>,30,40
not a lot. what about you?,i'm throwing a party on friday.,not a lot . what about you ?,<sos> i ' m throwing a party on friday . <eos>,i ' m throwing a party on friday . <eos>,28,46
i'm throwing a party on friday.,that sounds like fun.,i ' m throwing a party on friday .,<sos> that sounds like fun . <eos>,that sounds like fun . <eos>,34,34
that sounds like fun.,do you think you can come?,that sounds like fun .,<sos> do you think you can come ? <eos>,do you think you can come ? <eos>,22,39
do you think you can come?,i'm sorry. i'm already doing something this friday.,do you think you can come ?,<sos> i ' m sorry . i ' m already doing something this friday . <eos>,i ' m sorry . i ' m already doing something this friday . <eos>,27,69
i'm sorry. i'm already doing something this friday.,what are you going to be doing?,i ' m sorry . i ' m already doing something this friday .,<sos> what are you going to be doing ? <eos>,what are you going to be doing ? <eos>,57,44
what are you going to be doing?,my family and i are going to dinner.,what are you going to be doing ?,<sos> my family and i are going to dinner . <eos>,my family and i are going to dinner . <eos>,32,49
my family and i are going to dinner.,i was hoping you would come.,my family and i are going to dinner .,<sos> i was hoping you would come . <eos>,i was hoping you would come . <eos>,37,41
i was hoping you would come.,i'll definitely try to make it the next time.,i was hoping you would come .,<sos> i ' ll definitely try to make it the next time . <eos>,i ' ll definitely try to make it the next time . <eos>,29,60
i'll definitely try to make it the next time.,i'd better see you there.,i ' ll definitely try to make it the next time .,<sos> i ' d better see you there . <eos>,i ' d better see you there . <eos>,48,40
i'd better see you there.,all right. i'll see you next time.,i ' d better see you there .,<sos> all right . i ' ll see you next time . <eos>,all right . i ' ll see you next time . <eos>,28,50
what's going on?,nothing really. how about you?,what ' s going on ?,<sos> nothing really . how about you ? <eos>,nothing really . how about you ? <eos>,19,44
