Question,Answer,Encoder Inputs,Decoder Inputs,Decoder Targets,Question Length,Answer Length
that's for sure.,no one knows what happens after we die.,that ' s for sure .,no one knows what happens after we die .,no one knows what happens after we die .,19,40
no one knows what happens after we die.,"if we are good, we will be happy in heaven with god.",no one knows what happens after we die .,"if we are good , we will be happy in heaven with god .","if we are good , we will be happy in heaven with god .",40,54
"if we are good, we will be happy in heaven with god.",that's what many people believe.,"if we are good , we will be happy in heaven with god .",that ' s what many people believe .,that ' s what many people believe .,54,35
that's what many people believe.,"if we are bad, we will be unhappy forever in hell.",that ' s what many people believe .,"if we are bad , we will be unhappy forever in hell .","if we are bad , we will be unhappy forever in hell .",35,52
"if we are bad, we will be unhappy forever in hell.",i don't want to go to hell.,"if we are bad , we will be unhappy forever in hell .",i don ' t want to go to hell .,i don ' t want to go to hell .,52,30
i don't want to go to hell.,let's go to church with your parents on sunday.,i don ' t want to go to hell .,let ' s go to church with your parents on sunday .,let ' s go to church with your parents on sunday .,30,50
my husband died.,i'm sorry for you.,my husband died .,i ' m sorry for you .,i ' m sorry for you .,17,21
i'm sorry for you.,thank you.,i ' m sorry for you .,thank you .,thank you .,21,11
thank you.,when did he die?,thank you .,when did he die ?,when did he die ?,11,17
when did he die?,a couple of months ago.,when did he die ?,a couple of months ago .,a couple of months ago .,17,24
a couple of months ago.,you still miss him.,a couple of months ago .,you still miss him .,you still miss him .,24,20
you still miss him.,"yes, but i talk to him almost every day.",you still miss him .,"yes , but i talk to him almost every day .","yes , but i talk to him almost every day .",20,42
"yes, but i talk to him almost every day.",when you go to church?,"yes , but i talk to him almost every day .",when you go to church ?,when you go to church ?,42,23
when you go to church?,"no, when i call him on his cell phone.",when you go to church ?,"no , when i call him on his cell phone .","no , when i call him on his cell phone .",23,40
"no, when i call him on his cell phone.",what do you mean?,"no , when i call him on his cell phone .",what do you mean ?,what do you mean ?,40,18
what do you mean?,i buried him with his cell phone.,what do you mean ?,i buried him with his cell phone .,i buried him with his cell phone .,18,34
i buried him with his cell phone.,what will you do when the battery dies?,i buried him with his cell phone .,what will you do when the battery dies ?,what will you do when the battery dies ?,34,40
today is friday the thirteenth.,that's a bad day.,today is friday the thirteenth .,that ' s a bad day .,that ' s a bad day .,32,20
that's a bad day.,it's supposed to be unlucky.,that ' s a bad day .,it ' s supposed to be unlucky .,it ' s supposed to be unlucky .,20,31
it's supposed to be unlucky.,you're supposed to stay home all day.,it ' s supposed to be unlucky .,you ' re supposed to stay home all day .,you ' re supposed to stay home all day .,31,40
you're supposed to stay home all day.,that's what i do.,you ' re supposed to stay home all day .,that ' s what i do .,that ' s what i do .,40,20
that's what i do.,my friend stayed in a hotel on friday the thirteenth.,that ' s what i do .,my friend stayed in a hotel on friday the thirteenth .,my friend stayed in a hotel on friday the thirteenth .,20,54
my friend stayed in a hotel on friday the thirteenth.,that was a mistake.,my friend stayed in a hotel on friday the thirteenth .,that was a mistake .,that was a mistake .,54,20
that was a mistake.,he stayed on the thirteenth floor.,that was a mistake .,he stayed on the thirteenth floor .,he stayed on the thirteenth floor .,20,35
he stayed on the thirteenth floor.,what happened?,he stayed on the thirteenth floor .,what happened ?,what happened ?,35,15
what happened?,someone stole his laptop.,what happened ?,someone stole his laptop .,someone stole his laptop .,15,26
someone stole his laptop.,he was asking for it.,someone stole his laptop .,he was asking for it .,he was asking for it .,26,22
he was asking for it.,he learned his lesson. he's home today.,he was asking for it .,he learned his lesson . he ' s home today .,he learned his lesson . he ' s home today .,22,43
do you really love me?,of course.,do you really love me ?,of course .,of course .,23,11
of course.,prove it.,of course .,prove it .,prove it .,11,10
prove it.,how can i prove it?,prove it .,how can i prove it ?,how can i prove it ?,10,20
how can i prove it?,take me to dinner.,how can i prove it ?,take me to dinner .,take me to dinner .,20,19
take me to dinner.,that's it? that's all i have to do?,take me to dinner .,that ' s it ? that ' s all i have to do ?,that ' s it ? that ' s all i have to do ?,19,41
that's it? that's all i have to do?,"take me to a nice restaurant, not to mcdonald's.",that ' s it ? that ' s all i have to do ?,"take me to a nice restaurant , not to mcdonald ' s .","take me to a nice restaurant , not to mcdonald ' s .",41,52
"take me to a nice restaurant, not to mcdonald's.",but a nice restaurant costs money.,"take me to a nice restaurant , not to mcdonald ' s .",but a nice restaurant costs money .,but a nice restaurant costs money .,52,35
but a nice restaurant costs money.,"yes, and you have to make a reservation.",but a nice restaurant costs money .,"yes , and you have to make a reservation .","yes , and you have to make a reservation .",35,42
"yes, and you have to make a reservation.",that's such a hassle.,"yes , and you have to make a reservation .",that ' s such a hassle .,that ' s such a hassle .,42,24
that's such a hassle.,i knew you didn't love me.,that ' s such a hassle .,i knew you didn ' t love me .,i knew you didn ' t love me .,24,29
i knew you didn't love me.,"okay, okay! i'll make a reservation right now.",i knew you didn ' t love me .,"okay , okay ! i ' ll make a reservation right now .","okay , okay ! i ' ll make a reservation right now .",29,51
my parents are divorced.,so are mine.,my parents are divorced .,so are mine .,so are mine .,25,13
so are mine.,why did your parents get divorced?,so are mine .,why did your parents get divorced ?,why did your parents get divorced ?,13,35
why did your parents get divorced?,my father found a new girlfriend.,why did your parents get divorced ?,my father found a new girlfriend .,my father found a new girlfriend .,35,34
my father found a new girlfriend.,that's too bad.,my father found a new girlfriend .,that ' s too bad .,that ' s too bad .,34,18
that's too bad.,my mother was hurt and angry.,that ' s too bad .,my mother was hurt and angry .,my mother was hurt and angry .,18,30
my mother was hurt and angry.,she had good reason. what did she do?,my mother was hurt and angry .,she had good reason . what did she do ?,she had good reason . what did she do ?,30,39
she had good reason. what did she do?,she told him to drop his girlfriend.,she had good reason . what did she do ?,she told him to drop his girlfriend .,she told him to drop his girlfriend .,39,37
she told him to drop his girlfriend.,what did your father do?,she told him to drop his girlfriend .,what did your father do ?,what did your father do ?,37,25
what did your father do?,he moved out of our house.,what did your father do ?,he moved out of our house .,he moved out of our house .,25,27
he moved out of our house.,i guess he really liked his new girlfriend.,he moved out of our house .,i guess he really liked his new girlfriend .,i guess he really liked his new girlfriend .,27,44
i guess he really liked his new girlfriend.,"yes, but she left him a year later.",i guess he really liked his new girlfriend .,"yes , but she left him a year later .","yes , but she left him a year later .",44,37
my grandma's apartment smells funny.,so does mine.,my grandma ' s apartment smells funny .,so does mine .,so does mine .,39,14
so does mine.,i think it's an old people's smell.,so does mine .,i think it ' s an old people ' s smell .,i think it ' s an old people ' s smell .,14,40
i think it's an old people's smell.,really?,i think it ' s an old people ' s smell .,really ?,really ?,40,8
really?,"yes. i think when you get old, you begin to smell.",really ?,"yes . i think when you get old , you begin to smell .","yes . i think when you get old , you begin to smell .",8,53
"yes. i think when you get old, you begin to smell.",like fruit that is too ripe?,"yes . i think when you get old , you begin to smell .",like fruit that is too ripe ?,like fruit that is too ripe ?,53,29
like fruit that is too ripe?,"yes, just like fruit that is too ripe.",like fruit that is too ripe ?,"yes , just like fruit that is too ripe .","yes , just like fruit that is too ripe .",29,40
"yes, just like fruit that is too ripe.",but the smell is different.,"yes , just like fruit that is too ripe .",but the smell is different .,but the smell is different .,40,28
but the smell is different.,"yes, old people don't smell like fruit.",but the smell is different .,"yes , old people don ' t smell like fruit .","yes , old people don ' t smell like fruit .",28,43
"yes, old people don't smell like fruit.","no, they smell like a thrift shop.","yes , old people don ' t smell like fruit .","no , they smell like a thrift shop .","no , they smell like a thrift shop .",43,36
"no, they smell like a thrift shop.","yes, a thrift shop has that same smell.","no , they smell like a thrift shop .","yes , a thrift shop has that same smell .","yes , a thrift shop has that same smell .",36,41
"yes, a thrift shop has that same smell.","yes, an old smell.","yes , a thrift shop has that same smell .","yes , an old smell .","yes , an old smell .",41,20
the price of stamps goes up and up.,i think stamps used to cost a penny.,the price of stamps goes up and up .,i think stamps used to cost a penny .,i think stamps used to cost a penny .,36,37
i think stamps used to cost a penny.,that was a long time ago.,i think stamps used to cost a penny .,that was a long time ago .,that was a long time ago .,37,26
that was a long time ago.,it was before i was born.,that was a long time ago .,it was before i was born .,it was before i was born .,26,26
it was before i was born.,now a stamp is 42 cents.,it was before i was born .,now a stamp is cents .,now a stamp is cents .,26,22
now a stamp is 42 cents.,but in may it will be 44 cents.,now a stamp is cents .,but in may it will be cents .,but in may it will be cents .,22,29
but in may it will be 44 cents.,have you ever lost a letter in the mail?,but in may it will be cents .,have you ever lost a letter in the mail ?,have you ever lost a letter in the mail ?,29,41
have you ever lost a letter in the mail?,"no, i haven't.",have you ever lost a letter in the mail ?,"no , i haven ' t .","no , i haven ' t .",41,18
"no, i haven't.",neither have i.,"no , i haven ' t .",neither have i .,neither have i .,18,16
neither have i.,"so, they do a good job for the money.",neither have i .,"so , they do a good job for the money .","so , they do a good job for the money .",16,39
"so, they do a good job for the money.","yes, they do.","so , they do a good job for the money .","yes , they do .","yes , they do .",39,15
"yes, they do.",maybe we shouldn't complain.,"yes , they do .",maybe we shouldn ' t complain .,maybe we shouldn ' t complain .,15,31
a button came off my shirt.,what are you going to do?,a button came off my shirt .,what are you going to do ?,what are you going to do ?,28,26
what are you going to do?,"first, i have to find the button.",what are you going to do ?,"first , i have to find the button .","first , i have to find the button .",26,35
"first, i have to find the button.",where did you lose it?,"first , i have to find the button .",where did you lose it ?,where did you lose it ?,35,23
where did you lose it?,i have no idea.,where did you lose it ?,i have no idea .,i have no idea .,23,16
i have no idea.,a button is hard to find. did you look in your pant cuffs?,i have no idea .,a button is hard to find . did you look in your pant cuffs ?,a button is hard to find . did you look in your pant cuffs ?,16,60
a button is hard to find. did you look in your pant cuffs?,that's a good idea.,a button is hard to find . did you look in your pant cuffs ?,that ' s a good idea .,that ' s a good idea .,60,22
that's a good idea.,i found a button in my pant cuffs one time.,that ' s a good idea .,i found a button in my pant cuffs one time .,i found a button in my pant cuffs one time .,22,44
i found a button in my pant cuffs one time.,"let me look. no, it's not there.",i found a button in my pant cuffs one time .,"let me look . no , it ' s not there .","let me look . no , it ' s not there .",44,37
"let me look. no, it's not there.",many shirts come with an extra button.,"let me look . no , it ' s not there .",many shirts come with an extra button .,many shirts come with an extra button .,37,39
many shirts come with an extra button.,you're right. this one does have an extra button.,many shirts come with an extra button .,you ' re right . this one does have an extra button .,you ' re right . this one does have an extra button .,39,53
you're right. this one does have an extra button.,now all you have to do is sew it on.,you ' re right . this one does have an extra button .,now all you have to do is sew it on .,now all you have to do is sew it on .,53,37
i have to go to the bathroom.,you drink too much coffee.,i have to go to the bathroom .,you drink too much coffee .,you drink too much coffee .,30,27
you drink too much coffee.,but i love coffee.,you drink too much coffee .,but i love coffee .,but i love coffee .,27,19
but i love coffee.,"well, it's your life.",but i love coffee .,"well , it ' s your life .","well , it ' s your life .",19,25
"well, it's your life.",you eat too much chocolate.,"well , it ' s your life .",you eat too much chocolate .,you eat too much chocolate .,25,28
you eat too much chocolate.,i don't think so.,you eat too much chocolate .,i don ' t think so .,i don ' t think so .,28,20
i don't think so.,have you looked in the mirror?,i don ' t think so .,have you looked in the mirror ?,have you looked in the mirror ?,20,31
have you looked in the mirror?,do you think i'm getting fat?,have you looked in the mirror ?,do you think i ' m getting fat ?,do you think i ' m getting fat ?,31,32
do you think i'm getting fat?,i didn't say that.,do you think i ' m getting fat ?,i didn ' t say that .,i didn ' t say that .,32,21
i didn't say that.,what did you say?,i didn ' t say that .,what did you say ?,what did you say ?,21,18
what did you say?,i said i have to go to the bathroom.,what did you say ?,i said i have to go to the bathroom .,i said i have to go to the bathroom .,18,37
i said i have to go to the bathroom.,that's what i thought you said.,i said i have to go to the bathroom .,that ' s what i thought you said .,that ' s what i thought you said .,37,34
did you do the laundry?,"yes, i did.",did you do the laundry ?,"yes , i did .","yes , i did .",24,13
"yes, i did.",what did you wash?,"yes , i did .",what did you wash ?,what did you wash ?,13,19
what did you wash?,i washed the sheets and towels.,what did you wash ?,i washed the sheets and towels .,i washed the sheets and towels .,19,32
i washed the sheets and towels.,what about the pillowcases?,i washed the sheets and towels .,what about the pillowcases ?,what about the pillowcases ?,32,28
what about the pillowcases?,"yes, i took them off the pillows and washed them.",what about the pillowcases ?,"yes , i took them off the pillows and washed them .","yes , i took them off the pillows and washed them .",28,51
"yes, i took them off the pillows and washed them.",did you dry everything in the dryer?,"yes , i took them off the pillows and washed them .",did you dry everything in the dryer ?,did you dry everything in the dryer ?,51,37
did you dry everything in the dryer?,"yes, i dried everything in the dryer.",did you dry everything in the dryer ?,"yes , i dried everything in the dryer .","yes , i dried everything in the dryer .",37,39
"yes, i dried everything in the dryer.",then what did you do?,"yes , i dried everything in the dryer .",then what did you do ?,then what did you do ?,39,22
then what did you do?,i folded all the towels.,then what did you do ?,i folded all the towels .,i folded all the towels .,22,25
i folded all the towels.,did you put the sheets on the beds?,i folded all the towels .,did you put the sheets on the beds ?,did you put the sheets on the beds ?,25,36
did you put the sheets on the beds?,"yes, and i put the pillowcases on the pillows.",did you put the sheets on the beds ?,"yes , and i put the pillowcases on the pillows .","yes , and i put the pillowcases on the pillows .",36,48
do you listen to the radio?,i listen day and night.,do you listen to the radio ?,i listen day and night .,i listen day and night .,28,24
i listen day and night.,what do you listen to?,i listen day and night .,what do you listen to ?,what do you listen to ?,24,23
what do you listen to?,mostly talk radio.,what do you listen to ?,mostly talk radio .,mostly talk radio .,23,19
mostly talk radio.,what's that?,mostly talk radio .,what ' s that ?,what ' s that ?,19,15
what's that?,people talk about current events.,what ' s that ?,people talk about current events .,people talk about current events .,15,34
people talk about current events.,what do they say?,people talk about current events .,what do they say ?,what do they say ?,34,18
what do they say?,they say they want change.,what do they say ?,they say they want change .,they say they want change .,18,27
they say they want change.,what kind of change?,they say they want change .,what kind of change ?,what kind of change ?,27,21
what kind of change?,they want tax cuts.,what kind of change ?,they want tax cuts .,they want tax cuts .,21,20
they want tax cuts.,why do they want tax cuts?,they want tax cuts .,why do they want tax cuts ?,why do they want tax cuts ?,20,27
why do they want tax cuts?,because tax cuts will save them money.,why do they want tax cuts ?,because tax cuts will save them money .,because tax cuts will save them money .,27,39
"mom, i'm hungry.",look in the fridge.,"mom , i ' m hungry .",look in the fridge .,look in the fridge .,20,20
look in the fridge.,i'm looking. there's nothing to eat.,look in the fridge .,i ' m looking . there ' s nothing to eat .,i ' m looking . there ' s nothing to eat .,20,42
i'm looking. there's nothing to eat.,are you sure?,i ' m looking . there ' s nothing to eat .,are you sure ?,are you sure ?,42,14
are you sure?,it's almost empty.,are you sure ?,it ' s almost empty .,it ' s almost empty .,14,21
it's almost empty.,i went to the market yesterday.,it ' s almost empty .,i went to the market yesterday .,i went to the market yesterday .,21,32
i went to the market yesterday.,i don't see anything.,i went to the market yesterday .,i don ' t see anything .,i don ' t see anything .,32,24
i don't see anything.,i bought lots of oranges and apples.,i don ' t see anything .,i bought lots of oranges and apples .,i bought lots of oranges and apples .,24,37
i bought lots of oranges and apples.,i don't want fruit. i want something tasty.,i bought lots of oranges and apples .,i don ' t want fruit . i want something tasty .,i don ' t want fruit . i want something tasty .,37,47
i don't want fruit. i want something tasty.,eat the fruit. it's good for you.,i don ' t want fruit . i want something tasty .,eat the fruit . it ' s good for you .,eat the fruit . it ' s good for you .,47,37
eat the fruit. it's good for you.,"next time you go to the market, let me go with you.",eat the fruit . it ' s good for you .,"next time you go to the market , let me go with you .","next time you go to the market , let me go with you .",37,53
"next time you go to the market, let me go with you.","no, thank you. all you want to eat are hot dogs and candy bars.","next time you go to the market , let me go with you .","no , thank you . all you want to eat are hot dogs and candy bars .","no , thank you . all you want to eat are hot dogs and candy bars .",53,66
what is there to eat?,i don't know. look in the fridge.,what is there to eat ?,i don ' t know . look in the fridge .,i don ' t know . look in the fridge .,22,37
i don't know. look in the fridge.,i think i'll make a sandwich.,i don ' t know . look in the fridge .,i think i ' ll make a sandwich .,i think i ' ll make a sandwich .,37,32
i think i'll make a sandwich.,what kind?,i think i ' ll make a sandwich .,what kind ?,what kind ?,32,11
what kind?,a ham sandwich.,what kind ?,a ham sandwich .,a ham sandwich .,11,16
a ham sandwich.,the bread is in the cabinet.,a ham sandwich .,the bread is in the cabinet .,the bread is in the cabinet .,16,29
the bread is in the cabinet.,where's the mustard?,the bread is in the cabinet .,where ' s the mustard ?,where ' s the mustard ?,29,23
where's the mustard?,"it's in the fridge, i think.",where ' s the mustard ?,"it ' s in the fridge , i think .","it ' s in the fridge , i think .",23,32
"it's in the fridge, i think.","oh, yes, here it is. do you want a sandwich?","it ' s in the fridge , i think .","oh , yes , here it is . do you want a sandwich ?","oh , yes , here it is . do you want a sandwich ?",32,48
"oh, yes, here it is. do you want a sandwich?","yes, that sounds nice.","oh , yes , here it is . do you want a sandwich ?","yes , that sounds nice .","yes , that sounds nice .",48,24
"yes, that sounds nice.",how about some potato chips?,"yes , that sounds nice .",how about some potato chips ?,how about some potato chips ?,24,29
how about some potato chips?,"yes. and a pickle, if we have any.",how about some potato chips ?,"yes . and a pickle , if we have any .","yes . and a pickle , if we have any .",29,37
"it's time for your bath, young lady.","but, mom, i'm not dirty.","it ' s time for your bath , young lady .","but , mom , i ' m not dirty .","but , mom , i ' m not dirty .",40,29
"but, mom, i'm not dirty.",you need a bath every day.,"but , mom , i ' m not dirty .",you need a bath every day .,you need a bath every day .,29,27
you need a bath every day.,why?,you need a bath every day .,why ?,why ?,27,5
why?,because you don't want to smell bad.,why ?,because you don ' t want to smell bad .,because you don ' t want to smell bad .,5,39
because you don't want to smell bad.,i don't smell bad.,because you don ' t want to smell bad .,i don ' t smell bad .,i don ' t smell bad .,39,21
i don't smell bad.,that's what you think.,i don ' t smell bad .,that ' s what you think .,that ' s what you think .,21,25
that's what you think.,"if i smelled bad, i could smell me.",that ' s what you think .,"if i smelled bad , i could smell me .","if i smelled bad , i could smell me .",25,37
"if i smelled bad, i could smell me.",i can smell you.,"if i smelled bad , i could smell me .",i can smell you .,i can smell you .,37,17
i can smell you.,"i can smell you, too.",i can smell you .,"i can smell you , too .","i can smell you , too .",17,23
"i can smell you, too.",that's my perfume.,"i can smell you , too .",that ' s my perfume .,that ' s my perfume .,23,21
that's my perfume.,when can i wear perfume?,that ' s my perfume .,when can i wear perfume ?,when can i wear perfume ?,21,25
something's wrong with my computer.,exactly what?,something ' s wrong with my computer .,exactly what ?,exactly what ?,38,14
exactly what?,all i get is a black screen.,exactly what ?,all i get is a black screen .,all i get is a black screen .,14,29
all i get is a black screen.,what's the matter?,all i get is a black screen .,what ' s the matter ?,what ' s the matter ?,29,21
what's the matter?,"i think i know, because this happened before.",what ' s the matter ?,"i think i know , because this happened before .","i think i know , because this happened before .",21,47
"i think i know, because this happened before.",what happened before?,"i think i know , because this happened before .",what happened before ?,what happened before ?,47,22
what happened before?,my hard drive crashed.,what happened before ?,my hard drive crashed .,my hard drive crashed .,22,23
my hard drive crashed.,"oh, no. that's bad news.",my hard drive crashed .,"oh , no . that ' s bad news .","oh , no . that ' s bad news .",23,29
"oh, no. that's bad news.","it sure is, but i'm going to call hp first, just to make sure.","oh , no . that ' s bad news .","it sure is , but i ' m going to call hp first , just to make sure .","it sure is , but i ' m going to call hp first , just to make sure .",29,67
"it sure is, but i'm going to call hp first, just to make sure.",will you lose all your files?,"it sure is , but i ' m going to call hp first , just to make sure .",will you lose all your files ?,will you lose all your files ?,67,30
will you lose all your files?,"no, i always back up my files.",will you lose all your files ?,"no , i always back up my files .","no , i always back up my files .",30,32
"no, i always back up my files.",you're smart.,"no , i always back up my files .",you ' re smart .,you ' re smart .,32,16
i called hp about my computer.,what did they say?,i called hp about my computer .,what did they say ?,what did they say ?,31,19
what did they say?,they said i need a new hard drive.,what did they say ?,they said i need a new hard drive .,they said i need a new hard drive .,19,35
they said i need a new hard drive.,that's too bad. how much is a new one?,they said i need a new hard drive .,that ' s too bad . how much is a new one ?,that ' s too bad . how much is a new one ?,35,42
that's too bad. how much is a new one?,"it's not too much, only about $85.",that ' s too bad . how much is a new one ?,"it ' s not too much , only about $ .","it ' s not too much , only about $ .",42,36
"it's not too much, only about $85.",plus installation?,"it ' s not too much , only about $ .",plus installation ?,plus installation ?,36,19
plus installation?,"no, my hard drive is easy to remove and replace.",plus installation ?,"no , my hard drive is easy to remove and replace .","no , my hard drive is easy to remove and replace .",19,50
"no, my hard drive is easy to remove and replace.",really?,"no , my hard drive is easy to remove and replace .",really ?,really ?,50,8
really?,"yes, it's just a couple of screws.",really ?,"yes , it ' s just a couple of screws .","yes , it ' s just a couple of screws .",8,38
"yes, it's just a couple of screws.",that's nice.,"yes , it ' s just a couple of screws .",that ' s nice .,that ' s nice .,38,15
that's nice.,it's a lot better than paying someone $60.,that ' s nice .,it ' s a lot better than paying someone $ .,it ' s a lot better than paying someone $ .,15,43
it's a lot better than paying someone $60.,"if my hard drive crashes, i'll just call you.",it ' s a lot better than paying someone $ .,"if my hard drive crashes , i ' ll just call you .","if my hard drive crashes , i ' ll just call you .",43,49
what's your email address?,it's bluedog123.,what ' s your email address ?,it ' s bluedog .,it ' s bluedog .,29,16
it's bluedog123.,bluedog123. are you sure that's all?,it ' s bluedog .,bluedog . are you sure that ' s all ?,bluedog . are you sure that ' s all ?,16,37
bluedog123. are you sure that's all?,yes.,bluedog . are you sure that ' s all ?,yes .,yes .,37,5
yes.,no. that's incomplete.,yes .,no . that ' s incomplete .,no . that ' s incomplete .,5,26
no. that's incomplete.,what do you mean?,no . that ' s incomplete .,what do you mean ?,what do you mean ?,26,18
what do you mean?,what's your mailing address?,what do you mean ?,what ' s your mailing address ?,what ' s your mailing address ?,18,31
what's your mailing address?,"456 cherry drive, pasadena, ca 91170.",what ' s your mailing address ?,"cherry drive , pasadena , ca .","cherry drive , pasadena , ca .",31,30
"456 cherry drive, pasadena, ca 91170.",that's correct.,"cherry drive , pasadena , ca .",that ' s correct .,that ' s correct .,30,18
that's correct.,so what's the problem?,that ' s correct .,so what ' s the problem ?,so what ' s the problem ?,18,25
so what's the problem?,"bluedog123 is just the street. you have to give me the city, state, and zip code.",so what ' s the problem ?,"bluedog is just the street . you have to give me the city , state , and zip code .","bluedog is just the street . you have to give me the city , state , and zip code .",25,82
"bluedog123 is just the street. you have to give me the city, state, and zip code.","oh, i get it. my email address is bluedog123@yahoo.com.","bluedog is just the street . you have to give me the city , state , and zip code .","oh , i get it . my email address is bluedog @ yahoo . com .","oh , i get it . my email address is bluedog @ yahoo . com .",82,59
i'm going to take a nap.,you should unplug the phone.,i ' m going to take a nap .,you should unplug the phone .,you should unplug the phone .,27,29
you should unplug the phone.,that's a good idea.,you should unplug the phone .,that ' s a good idea .,that ' s a good idea .,29,22
that's a good idea.,do you want me to wake you in an hour?,that ' s a good idea .,do you want me to wake you in an hour ?,do you want me to wake you in an hour ?,22,39
do you want me to wake you in an hour?,"no, thanks. just let me sleep until i wake up.",do you want me to wake you in an hour ?,"no , thanks . just let me sleep until i wake up .","no , thanks . just let me sleep until i wake up .",39,49
"no, thanks. just let me sleep until i wake up.",i'll start dinner at 6:00.,"no , thanks . just let me sleep until i wake up .",i ' ll start dinner at : .,i ' ll start dinner at : .,49,26
i'll start dinner at 6:00.,okay. i think i'll be awake by then.,i ' ll start dinner at : .,okay . i think i ' ll be awake by then .,okay . i think i ' ll be awake by then .,26,40
okay. i think i'll be awake by then.,"if not, your nose will wake you up.",okay . i think i ' ll be awake by then .,"if not , your nose will wake you up .","if not , your nose will wake you up .",40,37
"if not, your nose will wake you up.",you mean i will smell the food cooking?,"if not , your nose will wake you up .",you mean i will smell the food cooking ?,you mean i will smell the food cooking ?,37,40
you mean i will smell the food cooking?,you might even dream about dinner.,you mean i will smell the food cooking ?,you might even dream about dinner .,you might even dream about dinner .,40,35
you might even dream about dinner.,i don't think i'm going to dream about anything. i'm really tired.,you might even dream about dinner .,i don ' t think i ' m going to dream about anything . i ' m really tired .,i don ' t think i ' m going to dream about anything . i ' m really tired .,35,74
i don't think i'm going to dream about anything. i'm really tired.,have a nice nap.,i don ' t think i ' m going to dream about anything . i ' m really tired .,have a nice nap .,have a nice nap .,74,17
that was a nice funeral.,"yes, dad, it was.",that was a nice funeral .,"yes , dad , it was .","yes , dad , it was .",25,20
"yes, dad, it was.",the son gave a nice speech about his father.,"yes , dad , it was .",the son gave a nice speech about his father .,the son gave a nice speech about his father .,20,45
the son gave a nice speech about his father.,"it was long, too.",the son gave a nice speech about his father .,"it was long , too .","it was long , too .",45,19
"it was long, too.",i think it was about 45 minutes long.,"it was long , too .",i think it was about minutes long .,i think it was about minutes long .,19,35
i think it was about 45 minutes long.,but it went by fast. it was interesting.,i think it was about minutes long .,but it went by fast . it was interesting .,but it went by fast . it was interesting .,35,42
but it went by fast. it was interesting.,i liked it.,but it went by fast . it was interesting .,i liked it .,i liked it .,42,12
i liked it.,"i'll give you a speech like that, too.",i liked it .,"i ' ll give you a speech like that , too .","i ' ll give you a speech like that , too .",12,42
"i'll give you a speech like that, too.",do you think anyone will come to my funeral?,"i ' ll give you a speech like that , too .",do you think anyone will come to my funeral ?,do you think anyone will come to my funeral ?,42,45
do you think anyone will come to my funeral?,of course.,do you think anyone will come to my funeral ?,of course .,of course .,45,11
of course.,i think only the family will be there.,of course .,i think only the family will be there .,i think only the family will be there .,11,39
i think only the family will be there.,"you have lots of friends. they will be there, too!",i think only the family will be there .,"you have lots of friends . they will be there , too !","you have lots of friends . they will be there , too !",39,53
yikes! what was that noise?,i had to blow my nose.,yikes ! what was that noise ?,i had to blow my nose .,i had to blow my nose .,29,23
i had to blow my nose.,did you have to blow right next to the phone?,i had to blow my nose .,did you have to blow right next to the phone ?,did you have to blow right next to the phone ?,23,46
did you have to blow right next to the phone?,did you hear that?,did you have to blow right next to the phone ?,did you hear that ?,did you hear that ?,46,19
did you hear that?,of course i heard that. i thought a plane had crashed into your house.,did you hear that ?,of course i heard that . i thought a plane had crashed into your house .,of course i heard that . i thought a plane had crashed into your house .,19,72
of course i heard that. i thought a plane had crashed into your house.,it wasn't that loud.,of course i heard that . i thought a plane had crashed into your house .,it wasn ' t that loud .,it wasn ' t that loud .,72,23
it wasn't that loud.,"i will blow my nose sometime for you, and you'll see.",it wasn ' t that loud .,"i will blow my nose sometime for you , and you ' ll see .","i will blow my nose sometime for you , and you ' ll see .",23,57
"i will blow my nose sometime for you, and you'll see.",okay. i'll take your word for it.,"i will blow my nose sometime for you , and you ' ll see .",okay . i ' ll take your word for it .,okay . i ' ll take your word for it .,57,37
okay. i'll take your word for it.,i thought you had an elephant in your house.,okay . i ' ll take your word for it .,i thought you had an elephant in your house .,i thought you had an elephant in your house .,37,45
i thought you had an elephant in your house.,you're funny.,i thought you had an elephant in your house .,you ' re funny .,you ' re funny .,45,16
you're funny.,what did you say? i think i've gone deaf.,you ' re funny .,what did you say ? i think i ' ve gone deaf .,what did you say ? i think i ' ve gone deaf .,16,45
what did you say? i think i've gone deaf.,i'm going into the bathroom to blow my nose. i'll be right back.,what did you say ? i think i ' ve gone deaf .,i ' m going into the bathroom to blow my nose . i ' ll be right back .,i ' m going into the bathroom to blow my nose . i ' ll be right back .,45,70
i have lots of friends.,really? how many do you have?,i have lots of friends .,really ? how many do you have ?,really ? how many do you have ?,24,31
really? how many do you have?,"i don't know, maybe one hundred.",really ? how many do you have ?,"i don ' t know , maybe one hundred .","i don ' t know , maybe one hundred .",31,36
"i don't know, maybe one hundred.",that is a lot of friends. do you have a best friend?,"i don ' t know , maybe one hundred .",that is a lot of friends . do you have a best friend ?,that is a lot of friends . do you have a best friend ?,36,54
that is a lot of friends. do you have a best friend?,of course. i have lots of best friends.,that is a lot of friends . do you have a best friend ?,of course . i have lots of best friends .,of course . i have lots of best friends .,54,41
of course. i have lots of best friends.,how many best friends do you have?,of course . i have lots of best friends .,how many best friends do you have ?,how many best friends do you have ?,41,35
how many best friends do you have?,i think about twenty-five.,how many best friends do you have ?,i think about twenty - five .,i think about twenty - five .,35,29
