Question,Answer,Encoder Inputs,Decoder Inputs,Decoder Targets,Question Length,Answer Length
i just wanted to give you the good news.,thanks for letting me know.,i just wanted to give you the good news,<sos> thanks for letting me know <eos>,thanks for letting me know <eos>,39,38
have you heard the news?,i haven't heard anything.,have you heard the news,<sos> i have not heard anything <eos>,i have not heard anything <eos>,23,37
i haven't heard anything.,debrah had her baby last week.,i have not heard anything,<sos> debrah had her baby last week <eos>,debrah had her baby last week <eos>,25,41
debrah had her baby last week.,nobody told me.,debrah had her baby last week,<sos> nobody told me <eos>,nobody told me <eos>,29,26
nobody told me.,i thought you heard.,nobody told me,<sos> i thought you heard <eos>,i thought you heard <eos>,14,31
i thought you heard.,i really wasn't told anything.,i thought you heard,<sos> i really was not told anything <eos>,i really was not told anything <eos>,19,42
i really wasn't told anything.,she was a cute 8 pounds 6 ounces.,i really was not told anything,<sos> she was a cute pounds ounces <eos>,she was a cute pounds ounces <eos>,30,40
she was a cute 8 pounds 6 ounces.,"wow, how exciting.",she was a cute pounds ounces,<sos> wow how exciting <eos>,wow how exciting <eos>,28,28
"wow, how exciting.","i know, you should really go and see her and the baby.",wow how exciting,<sos> i know you should really go and see her and the baby <eos>,i know you should really go and see her and the baby <eos>,16,64
"i know, you should really go and see her and the baby.",of course i will.,i know you should really go and see her and the baby,<sos> of course i will <eos>,of course i will <eos>,52,28
of course i will.,i just wanted to let you know what happened.,of course i will,<sos> i just wanted to let you know what happened <eos>,i just wanted to let you know what happened <eos>,16,55
did you go to school today?,of course. did you?,did you go to school today,<sos> of course did you <eos>,of course did you <eos>,26,29
of course. did you?,"i didn't want to, so i didn't.",of course did you,<sos> i did not want to so i did not <eos>,i did not want to so i did not <eos>,17,42
"i didn't want to, so i didn't.","that's sad, but have you gone to the movies recently?",i did not want to so i did not,<sos> that is sad but have you gone to the movies recently <eos>,that is sad but have you gone to the movies recently <eos>,30,64
"that's sad, but have you gone to the movies recently?",that's a switch.,that is sad but have you gone to the movies recently,<sos> that is a switch <eos>,that is a switch <eos>,52,28
that's a switch.,"i'm serious, have you?",that is a switch,<sos> i am serious have you <eos>,i am serious have you <eos>,16,33
"i'm serious, have you?","no, i haven't. why?",i am serious have you,<sos> no i have not why <eos>,no i have not why <eos>,21,29
"no, i haven't. why?",i really want to go to the movies this weekend.,no i have not why,<sos> i really want to go to the movies this weekend <eos>,i really want to go to the movies this weekend <eos>,17,58
i really want to go to the movies this weekend.,so go then.,i really want to go to the movies this weekend,<sos> so go then <eos>,so go then <eos>,46,22
so go then.,i really don't want to go by myself.,so go then,<sos> i really do not want to go by myself <eos>,i really do not want to go by myself <eos>,10,48
i really don't want to go by myself.,"well anyway, do you plan on going to school tomorrow?",i really do not want to go by myself,<sos> well anyway do you plan on going to school tomorrow <eos>,well anyway do you plan on going to school tomorrow <eos>,36,63
"well anyway, do you plan on going to school tomorrow?","no, i think i'm going to go to the movies.",well anyway do you plan on going to school tomorrow,<sos> no i think i am going to go to the movies <eos>,no i think i am going to go to the movies <eos>,51,53
did you make it to school today?,i always do. did you go to school today?,did you make it to school today,<sos> i always do did you go to school today <eos>,i always do did you go to school today <eos>,31,50
i always do. did you go to school today?,"no, i didn't.",i always do did you go to school today,<sos> no i did not <eos>,no i did not <eos>,38,24
"no, i didn't.","you should have, but have you seen any movies lately?",no i did not,<sos> you should have but have you seen any movies lately <eos>,you should have but have you seen any movies lately <eos>,12,63
"you should have, but have you seen any movies lately?",that was an odd change of subject.,you should have but have you seen any movies lately,<sos> that was an odd change of subject <eos>,that was an odd change of subject <eos>,51,45
that was an odd change of subject.,"maybe it was, but answer the question.",that was an odd change of subject,<sos> maybe it was but answer the question <eos>,maybe it was but answer the question <eos>,33,48
"maybe it was, but answer the question.","no, not recently.",maybe it was but answer the question,<sos> no not recently <eos>,no not recently <eos>,36,27
"no, not recently.",i want to go to see a movie this weekend.,no not recently,<sos> i want to go to see a movie this weekend <eos>,i want to go to see a movie this weekend <eos>,15,52
i want to go to see a movie this weekend.,what's stopping you then?,i want to go to see a movie this weekend,<sos> that is stopping you then <eos>,that is stopping you then <eos>,40,37
what's stopping you then?,i don't want to go alone.,that is stopping you then,<sos> i do not want to go alone <eos>,i do not want to go alone <eos>,25,37
i don't want to go alone.,"so, will you be at school tomorrow?",i do not want to go alone,<sos> so will you be at school tomorrow <eos>,so will you be at school tomorrow <eos>,25,45
"so, will you be at school tomorrow?","no, i want to go to the movies instead.",so will you be at school tomorrow,<sos> no i want to go to the movies instead <eos>,no i want to go to the movies instead <eos>,33,49
did you even bother to go to school today?,"yeah, i went. did you go?",did you even bother to go to school today,<sos> yeah i went did you go <eos>,yeah i went did you go <eos>,41,34
"yeah, i went. did you go?","no, i didn't feel like it.",yeah i went did you go,<sos> no i did not feel like it <eos>,no i did not feel like it <eos>,22,37
"no, i didn't feel like it.","that's nice, have you been to the movies lately?",no i did not feel like it,<sos> that is nice have you been to the movies lately <eos>,that is nice have you been to the movies lately <eos>,25,59
"that's nice, have you been to the movies lately?","no, but that was a random change of subject.",that is nice have you been to the movies lately,<sos> no but that was a random change of subject <eos>,no but that was a random change of subject <eos>,47,54
"no, but that was a random change of subject.","it may have been random, but have you?",no but that was a random change of subject,<sos> it may have been random but have you <eos>,it may have been random but have you <eos>,42,48
"it may have been random, but have you?",i haven't lately.,it may have been random but have you,<sos> i have not lately <eos>,i have not lately <eos>,36,29
i haven't lately.,i would love to catch a movie this weekend.,i have not lately,<sos> i would love to catch a movie this weekend <eos>,i would love to catch a movie this weekend <eos>,17,54
i would love to catch a movie this weekend.,"so then, why don't you just go?",i would love to catch a movie this weekend,<sos> so then why do not you just go <eos>,so then why do not you just go <eos>,42,42
"so then, why don't you just go?",i don't want to see a movie by myself.,so then why do not you just go,<sos> i do not want to see a movie by myself <eos>,i do not want to see a movie by myself <eos>,30,50
i don't want to see a movie by myself.,"okay, so are you going to school tomorrow?",i do not want to see a movie by myself,<sos> okay so are you going to school tomorrow <eos>,okay so are you going to school tomorrow <eos>,38,52
thanks for coming to see me today.,it's no problem. i was really missing you anyway.,thanks for coming to see me today,<sos> it is no problem i was really missing you anyway <eos>,it is no problem i was really missing you anyway <eos>,33,60
it's no problem. i was really missing you anyway.,i missed you too.,it is no problem i was really missing you anyway,<sos> i missed you too <eos>,i missed you too <eos>,48,28
i missed you too.,why haven't you tried to come see me then?,i missed you too,<sos> why have not you tried to come see me then <eos>,why have not you tried to come see me then <eos>,16,54
why haven't you tried to come see me then?,i've been really busy.,why have not you tried to come see me then,<sos> i have been really busy <eos>,i have been really busy <eos>,42,35
i've been really busy.,doing what?,i have been really busy,<sos> doing what <eos>,doing what <eos>,23,22
doing what?,working.,doing what,<sos> working <eos>,working <eos>,10,19
working.,"i would've come to see you sooner, but i've been busy too.",working,<sos> i would have come to see you sooner but i have been busy too <eos>,i would have come to see you sooner but i have been busy too <eos>,7,72
"i would've come to see you sooner, but i've been busy too.",what have you been doing?,i would have come to see you sooner but i have been busy too,<sos> what have you been doing <eos>,what have you been doing <eos>,60,36
what have you been doing?,i've been working too.,what have you been doing,<sos> i have been working too <eos>,i have been working too <eos>,24,35
i've been working too.,"well regardless, i'm very happy that you came to see me.",i have been working too,<sos> well regardless i am very happy that you came to see me <eos>,well regardless i am very happy that you came to see me <eos>,23,67
"well regardless, i'm very happy that you came to see me.",i am too.,well regardless i am very happy that you came to see me,<sos> i am too <eos>,i am too <eos>,55,20
i'm really glad that you came to see me.,i had to. i was missing you a lot.,i am really glad that you came to see me,<sos> i had to i was missing you a lot <eos>,i had to i was missing you a lot <eos>,40,44
i had to. i was missing you a lot.,i was missing you too.,i had to i was missing you a lot,<sos> i was missing you too <eos>,i was missing you too <eos>,32,33
i was missing you too.,"so, why haven't you visited me?",i was missing you too,<sos> so why have not you visited me <eos>,so why have not you visited me <eos>,21,42
"so, why haven't you visited me?",i've actually been busy lately.,so why have not you visited me,<sos> i have actually been busy lately <eos>,i have actually been busy lately <eos>,30,44
i've actually been busy lately.,what have you been doing?,i have actually been busy lately,<sos> what have you been doing <eos>,what have you been doing <eos>,32,36
what have you been doing?,i've just been working really hard.,what have you been doing,<sos> i have just been working really hard <eos>,i have just been working really hard <eos>,24,48
i've just been working really hard.,i've also been busy.,i have just been working really hard,<sos> i have also been busy <eos>,i have also been busy <eos>,36,33
i've also been busy.,tell me what you've been doing.,i have also been busy,<sos> tell me what you have been doing <eos>,tell me what you have been doing <eos>,21,44
tell me what you've been doing.,"basically, i've been working too.",tell me what you have been doing,<sos> basically i have been working too <eos>,basically i have been working too <eos>,32,45
"basically, i've been working too.","well whatever, i'm glad you came.",basically i have been working too,<sos> well whatever i am glad you came <eos>,well whatever i am glad you came <eos>,33,44
"well whatever, i'm glad you came.",so am i.,well whatever i am glad you came,<sos> so am i <eos>,so am i <eos>,32,19
i'm really happy that you came to visit me.,i really missed you a lot.,i am really happy that you came to visit me,<sos> i really missed you a lot <eos>,i really missed you a lot <eos>,43,37
i really missed you a lot.,i've been missing you like crazy.,i really missed you a lot,<sos> i have been missing you like crazy <eos>,i have been missing you like crazy <eos>,25,46
i've been missing you like crazy.,i don't understand why you haven't come to visit me.,i have been missing you like crazy,<sos> i do not understand why you have not come to visit me <eos>,i do not understand why you have not come to visit me <eos>,34,65
i don't understand why you haven't come to visit me.,"lately, i've been quite busy.",i do not understand why you have not come to visit me,<sos> lately i have been quite busy <eos>,lately i have been quite busy <eos>,53,41
"lately, i've been quite busy.",tell me what you've been up to.,lately i have been quite busy,<sos> tell me what you have been up to <eos>,tell me what you have been up to <eos>,29,44
tell me what you've been up to.,i've really been working a lot lately.,tell me what you have been up to,<sos> i have really been working a lot lately <eos>,i have really been working a lot lately <eos>,32,51
i've really been working a lot lately.,i've been pretty busy myself.,i have really been working a lot lately,<sos> i have been pretty busy myself <eos>,i have been pretty busy myself <eos>,39,42
i've been pretty busy myself.,so what have you been up to?,i have been pretty busy myself,<sos> so what have you been up to <eos>,so what have you been up to <eos>,30,39
so what have you been up to?,i've just been working a lot.,so what have you been up to,<sos> i have just been working a lot <eos>,i have just been working a lot <eos>,27,42
i've just been working a lot.,"whatever the reason may be, i'm glad you visited me.",i have just been working a lot,<sos> whatever the reason may be i am glad you visited me <eos>,whatever the reason may be i am glad you visited me <eos>,30,63
"hey, did you hear about jessica's party this weekend?","yeah, but i'm still waiting for my invitation.",hey did you hear about jessica ' s party this weekend,<sos> yeah but i am still waiting for my invitation <eos>,yeah but i am still waiting for my invitation <eos>,53,57
"yeah, but i'm still waiting for my invitation.",oh really? she gave me mine earlier today.,yeah but i am still waiting for my invitation,<sos> oh really she gave me mine earlier today <eos>,oh really she gave me mine earlier today <eos>,45,52
oh really? she gave me mine earlier today.,"well, she'll probably just give me my invitation later on today.",oh really she gave me mine earlier today,<sos> well she will probably just give me my invitation later on today <eos>,well she will probably just give me my invitation later on today <eos>,40,76
"well, she'll probably just give me my invitation later on today.","yeah, so are you planning on going?",well she will probably just give me my invitation later on today,<sos> yeah so are you planning on going <eos>,yeah so are you planning on going <eos>,64,45
"yeah, so are you planning on going?",i think so. it sounds like it's going to be a lot of fun.,yeah so are you planning on going,<sos> i think so it sounds like it is going to be a lot of fun <eos>,i think so it sounds like it is going to be a lot of fun <eos>,33,68
i think so. it sounds like it's going to be a lot of fun.,"it really does, i can't wait.",i think so it sounds like it is going to be a lot of fun,<sos> it really does i cannot wait <eos>,it really does i cannot wait <eos>,56,40
"it really does, i can't wait.",what time does the party start?,it really does i cannot wait,<sos> what time does the party start <eos>,what time does the party start <eos>,28,42
what time does the party start?,it starts at 8 o'clock.,what time does the party start,<sos> it starts at o ' clock <eos>,it starts at o ' clock <eos>,30,34
it starts at 8 o'clock.,"oh, well, how many people has she given invites to so far?",it starts at o ' clock,<sos> oh well how many people has she given invites to so far <eos>,oh well how many people has she given invites to so far <eos>,22,67
"oh, well, how many people has she given invites to so far?","i'm not sure, but i don't think she's given out that many.",oh well how many people has she given invites to so far,<sos> i am not sure but i do not think she is given out that many <eos>,i am not sure but i do not think she is given out that many <eos>,55,71
"i'm not sure, but i don't think she's given out that many.","well, hopefully she'll give me my invite later on today.",i am not sure but i do not think she is given out that many,<sos> well hopefully she will give me my invite later on today <eos>,well hopefully she will give me my invite later on today <eos>,59,68
have you heard about jessica's party on saturday?,"i've heard about it, but i'm still waiting for my invitation.",have you heard about jessica ' s party on saturday,<sos> i have heard about it but i am still waiting for my invitation <eos>,i have heard about it but i am still waiting for my invitation <eos>,50,74
"i've heard about it, but i'm still waiting for my invitation.",really? i got mine from her this morning.,i have heard about it but i am still waiting for my invitation,<sos> really i got mine from her this morning <eos>,really i got mine from her this morning <eos>,62,51
really? i got mine from her this morning.,i'm guessing that she's going to give me my invite today or tomorrow.,really i got mine from her this morning,<sos> i am guessing that she is going to give me my invite today or tomorrow <eos>,i am guessing that she is going to give me my invite today or tomorrow <eos>,39,82
i'm guessing that she's going to give me my invite today or tomorrow.,"you're probably right, do you intend on going to the party?",i am guessing that she is going to give me my invite today or tomorrow,<sos> you are probably right do you intend on going to the party <eos>,you are probably right do you intend on going to the party <eos>,70,70
"you're probably right, do you intend on going to the party?",i want to. i heard it's going to be really fun.,you are probably right do you intend on going to the party,<sos> i want to i heard it is going to be really fun <eos>,i want to i heard it is going to be really fun <eos>,58,58
i want to. i heard it's going to be really fun.,"i know, it does sound pretty awesome.",i want to i heard it is going to be really fun,<sos> i know it does sound pretty awesome <eos>,i know it does sound pretty awesome <eos>,46,47
"i know, it does sound pretty awesome.","well, when does the party start?",i know it does sound pretty awesome,<sos> well when does the party start <eos>,well when does the party start <eos>,35,42
"well, when does the party start?",it's supposed to start at about eight.,well when does the party start,<sos> it is supposed to start at about eight <eos>,it is supposed to start at about eight <eos>,30,50
it's supposed to start at about eight.,how many invitations has she given out?,it is supposed to start at about eight,<sos> how many invitations has she given out <eos>,how many invitations has she given out <eos>,38,50
how many invitations has she given out?,"i really don't know, but i don't think she gave out that many yet.",how many invitations has she given out,<sos> i really do not know but i do not think she gave out that many yet <eos>,i really do not know but i do not think she gave out that many yet <eos>,38,78
"i really don't know, but i don't think she gave out that many yet.","i really want to go, so i hope that she gives me my invite soon.",i really do not know but i do not think she gave out that many yet,<sos> i really want to go so i hope that she gives me my invite soon <eos>,i really want to go so i hope that she gives me my invite soon <eos>,66,74
has anyone told you about jessica's party coming up?,i was told about it already. i'm just waiting for my invitation.,has anyone told you about jessica ' s party coming up,<sos> i was told about it already i am just waiting for my invitation <eos>,i was told about it already i am just waiting for my invitation <eos>,53,75
i was told about it already. i'm just waiting for my invitation.,is that right? i already got my invitation from her earlier.,i was told about it already i am just waiting for my invitation,<sos> is that right i already got my invitation from her earlier <eos>,is that right i already got my invitation from her earlier <eos>,63,70
is that right? i already got my invitation from her earlier.,i believe that she will give me the invitation today.,is that right i already got my invitation from her earlier,<sos> i believe that she will give me the invitation today <eos>,i believe that she will give me the invitation today <eos>,58,64
i believe that she will give me the invitation today.,are you even going to go?,i believe that she will give me the invitation today,<sos> are you even going to go <eos>,are you even going to go <eos>,52,36
are you even going to go?,"yeah, it sounds like it's going to be the best party of the year.",are you even going to go,<sos> yeah it sounds like it is going to be the best party of the year <eos>,yeah it sounds like it is going to be the best party of the year <eos>,24,76
"yeah, it sounds like it's going to be the best party of the year.","exactly, it seems like it's going to be loads of fun.",yeah it sounds like it is going to be the best party of the year,<sos> exactly it seems like it is going to be loads of fun <eos>,exactly it seems like it is going to be loads of fun <eos>,64,64
"exactly, it seems like it's going to be loads of fun.",when exactly does the party start?,exactly it seems like it is going to be loads of fun,<sos> when exactly does the party start <eos>,when exactly does the party start <eos>,52,45
when exactly does the party start?,the invitation says it starts at 8:00 p.m.,when exactly does the party start,<sos> the invitation says it starts at pm <eos>,the invitation says it starts at pm <eos>,33,47
the invitation says it starts at 8:00 p.m.,has she given out a lot of invitations yet?,the invitation says it starts at pm,<sos> has she given out a lot of invitations yet <eos>,has she given out a lot of invitations yet <eos>,35,54
has she given out a lot of invitations yet?,"i have no idea, she hasn't given out many though.",has she given out a lot of invitations yet,<sos> i have no idea she has not given out many though <eos>,i have no idea she has not given out many though <eos>,42,60
"hey, what's up?",nothing really.,hey that is up,<sos> nothing really <eos>,nothing really <eos>,14,26
nothing really.,i'm throwing a party on friday.,nothing really,<sos> i am throwing a party on friday <eos>,i am throwing a party on friday <eos>,14,43
i'm throwing a party on friday.,i didn't realize that.,i am throwing a party on friday,<sos> i did not realize that <eos>,i did not realize that <eos>,31,34
i didn't realize that.,you didn't?,i did not realize that,<sos> you did not <eos>,you did not <eos>,22,23
you didn't?,nobody has told me anything about your party.,you did not,<sos> nobody has told me anything about your party <eos>,nobody has told me anything about your party <eos>,11,56
nobody has told me anything about your party.,did you want to go?,nobody has told me anything about your party,<sos> did you want to go <eos>,did you want to go <eos>,44,30
did you want to go?,when does it start?,did you want to go,<sos> when does it start <eos>,when does it start <eos>,18,30
when does it start?,at 8:00 p.m.,when does it start,<sos> at pm <eos>,at pm <eos>,18,17
at 8:00 p.m.,i'll be there.,at pm,<sos> i will be there <eos>,i will be there <eos>,5,27
i'll be there.,i'd better see you there.,i will be there,<sos> i would better see you there <eos>,i would better see you there <eos>,15,40
i'd better see you there.,of course.,i would better see you there,<sos> of course <eos>,of course <eos>,28,21
what's going on with you?,fine. what's going on with you?,that is going on with you,<sos> fine that is going on with you <eos>,fine that is going on with you <eos>,25,42
fine. what's going on with you?,i'm having a party this friday.,fine that is going on with you,<sos> i am having a party this friday <eos>,i am having a party this friday <eos>,30,43
i'm having a party this friday.,i had no idea.,i am having a party this friday,<sos> i had no idea <eos>,i had no idea <eos>,31,25
i had no idea.,is that right?,i had no idea,<sos> is that right <eos>,is that right <eos>,13,25
is that right?,i didn't hear anything about it.,is that right,<sos> i did not hear anything about it <eos>,i did not hear anything about it <eos>,13,44
i didn't hear anything about it.,can you go?,i did not hear anything about it,<sos> can you go <eos>,can you go <eos>,32,22
can you go?,what time?,can you go,<sos> what time <eos>,what time <eos>,10,21
what time?,it starts at 8 o'clock.,what time,<sos> it starts at o ' clock <eos>,it starts at o ' clock <eos>,9,34
it starts at 8 o'clock.,i'll go.,it starts at o ' clock,<sos> i will go <eos>,i will go <eos>,22,21
i'll go.,i hope that i'll see you there.,i will go,<sos> i hope that i will see you there <eos>,i hope that i will see you there <eos>,9,44
i hope that i'll see you there.,no doubt.,i hope that i will see you there,<sos> no doubt <eos>,no doubt <eos>,32,20
what's going on?,not much.,that is going on,<sos> not much <eos>,not much <eos>,16,20
not much.,"this friday, i'm throwing a party.",not much,<sos> this friday i am throwing a party <eos>,this friday i am throwing a party <eos>,8,45
"this friday, i'm throwing a party.",oh really? i didn't know that.,this friday i am throwing a party,<sos> oh really i did not know that <eos>,oh really i did not know that <eos>,33,41
oh really? i didn't know that.,are you serious?,oh really i did not know that,<sos> are you serious <eos>,are you serious <eos>,29,27
are you serious?,i haven't heard anything about it.,are you serious,<sos> i have not heard anything about it <eos>,i have not heard anything about it <eos>,15,46
i haven't heard anything about it.,can you make it?,i have not heard anything about it,<sos> can you make it <eos>,can you make it <eos>,34,27
can you make it?,what time does it start?,can you make it,<sos> what time does it start <eos>,what time does it start <eos>,15,35
what time does it start?,the party starts at 8.,what time does it start,<sos> the party starts at <eos>,the party starts at <eos>,23,31
the party starts at 8.,"yeah, i think i'll go.",the party starts at,<sos> yeah i think i will go <eos>,yeah i think i will go <eos>,19,34
"yeah, i think i'll go.",am i going to see you there?,yeah i think i will go,<sos> am i going to see you there <eos>,am i going to see you there <eos>,22,39
what's going on?,"nothing really, you?",that is going on,<sos> nothing really you <eos>,nothing really you <eos>,16,30
"nothing really, you?",i'm throwing a party next saturday.,nothing really you,<sos> i am throwing a party next saturday <eos>,i am throwing a party next saturday <eos>,18,47
i'm throwing a party next saturday.,is that right?,i am throwing a party next saturday,<sos> is that right <eos>,is that right <eos>,35,25
is that right?,"yeah, are you going to come?",is that right,<sos> yeah are you going to come <eos>,yeah are you going to come <eos>,13,38
"yeah, are you going to come?","i'm sorry, i can't.",yeah are you going to come,<sos> i am sorry i cannot <eos>,i am sorry i cannot <eos>,26,31
"i'm sorry, i can't.",why not?,i am sorry i cannot,<sos> why not <eos>,why not <eos>,19,19
why not?,i don't really want to.,why not,<sos> i do not really want to <eos>,i do not really want to <eos>,7,35
i don't really want to.,"well, why don't you?",i do not really want to,<sos> well why do not you <eos>,well why do not you <eos>,23,31
"well, why don't you?",i hate going to parties.,well why do not you,<sos> i hate going to parties <eos>,i hate going to parties <eos>,19,35
i hate going to parties.,"well, that's okay.",i hate going to parties,<sos> well that is okay <eos>,well that is okay <eos>,23,29
"well, that's okay.","yeah, sorry.",well that is okay,<sos> yeah sorry <eos>,yeah sorry <eos>,17,22
what's up?,"nothing, how about you?",that is up,<sos> nothing how about you <eos>,nothing how about you <eos>,10,33
"nothing, how about you?","next saturday, i'm going to have a party.",nothing how about you,<sos> next saturday i am going to have a party <eos>,next saturday i am going to have a party <eos>,21,52
"next saturday, i'm going to have a party.","oh, really?",next saturday i am going to have a party,<sos> oh really <eos>,oh really <eos>,40,21
"oh, really?",you are coming?,oh really,<sos> you are coming <eos>,you are coming <eos>,9,26
you are coming?,probably not.,you are coming,<sos> probably not <eos>,probably not <eos>,14,24
probably not.,why is that?,probably not,<sos> why is that <eos>,why is that <eos>,12,23
why is that?,i don't feel like going.,why is that,<sos> i do not feel like going <eos>,i do not feel like going <eos>,11,36
i don't feel like going.,why not?,i do not feel like going,<sos> why not <eos>,why not <eos>,24,19
why not?,i really can't stand going to parties.,why not,<sos> i really cannot stand going to parties <eos>,i really cannot stand going to parties <eos>,7,50
i really can't stand going to parties.,"i understand, i guess.",i really cannot stand going to parties,<sos> i understand i guess <eos>,i understand i guess <eos>,38,32
"i understand, i guess.",sorry about that.,i understand i guess,<sos> sorry about that <eos>,sorry about that <eos>,20,28
what's happening?,"not a lot, what about you?",that is happening,<sos> not a lot what about you <eos>,not a lot what about you <eos>,17,36
"not a lot, what about you?",i'm having a party next saturday.,not a lot what about you,<sos> i am having a party next saturday <eos>,i am having a party next saturday <eos>,24,45
i'm having a party next saturday.,that's nice.,i am having a party next saturday,<sos> that is nice <eos>,that is nice <eos>,33,24
that's nice.,are you going to be there?,that is nice,<sos> are you going to be there <eos>,are you going to be there <eos>,12,37
are you going to be there?,i don't think so.,are you going to be there,<sos> i do not think so <eos>,i do not think so <eos>,25,29
i don't think so.,is there a reason why?,i do not think so,<sos> is there a reason why <eos>,is there a reason why <eos>,17,33
is there a reason why?,i just really don't want to go.,is there a reason why,<sos> i just really do not want to go <eos>,i just really do not want to go <eos>,21,43
i just really don't want to go.,how come?,i just really do not want to go,<sos> how come <eos>,how come <eos>,31,20
how come?,i don't really like parties.,how come,<sos> i do not really like parties <eos>,i do not really like parties <eos>,8,40
i don't really like parties.,"i wish you would go, but that's okay.",i do not really like parties,<sos> i wish you would go but that is okay <eos>,i wish you would go but that is okay <eos>,28,48
what's up?,"nothing much, what's going on?",that is up,<sos> nothing much that is going on <eos>,nothing much that is going on <eos>,10,41
"nothing much, what's going on?",i'm having a party this friday.,nothing much that is going on,<sos> i am having a party this friday <eos>,i am having a party this friday <eos>,29,43
i'm having a party this friday.,"oh, really? that's nice.",i am having a party this friday,<sos> oh really that is nice <eos>,oh really that is nice <eos>,31,34
"oh, really? that's nice.",i wanted to see if you wanted to come.,oh really that is nice,<sos> i wanted to see if you wanted to come <eos>,i wanted to see if you wanted to come <eos>,22,49
i wanted to see if you wanted to come.,"this friday? sorry, i already have plans.",i wanted to see if you wanted to come,<sos> this friday sorry i already have plans <eos>,this friday sorry i already have plans <eos>,37,50
"this friday? sorry, i already have plans.",doing what?,this friday sorry i already have plans,<sos> doing what <eos>,doing what <eos>,38,22
doing what?,i'm going to dinner with my family.,doing what,<sos> i am going to dinner with my family <eos>,i am going to dinner with my family <eos>,10,47
i'm going to dinner with my family.,"i really wanted you to come, but i understand.",i am going to dinner with my family,<sos> i really wanted you to come but i understand <eos>,i really wanted you to come but i understand <eos>,35,56
"i really wanted you to come, but i understand.","yeah, maybe next time.",i really wanted you to come but i understand,<sos> yeah maybe next time <eos>,yeah maybe next time <eos>,44,32
"yeah, maybe next time.",i'll hold you to that.,yeah maybe next time,<sos> i will hold you to that <eos>,i will hold you to that <eos>,20,35
i'll hold you to that.,sounds like a plan.,i will hold you to that,<sos> sounds like a plan <eos>,sounds like a plan <eos>,23,30
"hey, what's good with you?",not a lot. what about you?,hey that is good with you,<sos> not a lot what about you <eos>,not a lot what about you <eos>,25,36
not a lot. what about you?,i'm throwing a party on friday.,not a lot what about you,<sos> i am throwing a party on friday <eos>,i am throwing a party on friday <eos>,24,43
i'm throwing a party on friday.,that sounds like fun.,i am throwing a party on friday,<sos> that sounds like fun <eos>,that sounds like fun <eos>,31,32
that sounds like fun.,do you think you can come?,that sounds like fun,<sos> do you think you can come <eos>,do you think you can come <eos>,20,37
do you think you can come?,i'm sorry. i'm already doing something this friday.,do you think you can come,<sos> i am sorry i am already doing something this friday <eos>,i am sorry i am already doing something this friday <eos>,25,63
i'm sorry. i'm already doing something this friday.,what are you going to be doing?,i am sorry i am already doing something this friday,<sos> what are you going to be doing <eos>,what are you going to be doing <eos>,51,42
what are you going to be doing?,my family and i are going to dinner.,what are you going to be doing,<sos> my family and i are going to dinner <eos>,my family and i are going to dinner <eos>,30,47
my family and i are going to dinner.,i was hoping you would come.,my family and i are going to dinner,<sos> i was hoping you would come <eos>,i was hoping you would come <eos>,35,39
i was hoping you would come.,i'll definitely try to make it the next time.,i was hoping you would come,<sos> i will definitely try to make it the next time <eos>,i will definitely try to make it the next time <eos>,27,58
i'll definitely try to make it the next time.,i'd better see you there.,i will definitely try to make it the next time,<sos> i would better see you there <eos>,i would better see you there <eos>,46,40
i'd better see you there.,all right. i'll see you next time.,i would better see you there,<sos> all right i will see you next time <eos>,all right i will see you next time <eos>,28,46
what's going on?,nothing really. how about you?,that is going on,<sos> nothing really how about you <eos>,nothing really how about you <eos>,16,40
nothing really. how about you?,"a lot, like the party i'm having on friday.",nothing really how about you,<sos> a lot like the party i am having on friday <eos>,a lot like the party i am having on friday <eos>,28,54
"a lot, like the party i'm having on friday.","well, that's cool.",a lot like the party i am having on friday,<sos> well that is cool <eos>,well that is cool <eos>,42,29
"well, that's cool.",will you be able to make it?,well that is cool,<sos> will you be able to make it <eos>,will you be able to make it <eos>,17,39
will you be able to make it?,i'm busy this friday. i'm sorry.,will you be able to make it,<sos> i am busy this friday i am sorry <eos>,i am busy this friday i am sorry <eos>,27,44
i'm busy this friday. i'm sorry.,what do you have to do?,i am busy this friday i am sorry,<sos> what do you have to do <eos>,what do you have to do <eos>,32,34
what do you have to do?,i'm having dinner with my family,what do you have to do,<sos> i am having dinner with my family <eos>,i am having dinner with my family <eos>,22,45
i'm having dinner with my family,maybe you can come next time.,i am having dinner with my family,<sos> maybe you can come next time <eos>,maybe you can come next time <eos>,33,40
maybe you can come next time.,i'll make sure and come to your next party.,maybe you can come next time,<sos> i will make sure and come to your next party <eos>,i will make sure and come to your next party <eos>,28,56
i'll make sure and come to your next party.,i'll look for you at my next party.,i will make sure and come to your next party,<sos> i will look for you at my next party <eos>,i will look for you at my next party <eos>,44,48
it was nice talking to you.,why are you trying to rush me off the phone?,it was nice talking to you,<sos> why are you trying to rush me off the phone <eos>,why are you trying to rush me off the phone <eos>,26,55
why are you trying to rush me off the phone?,i really have to go.,why are you trying to rush me off the phone,<sos> i really have to go <eos>,i really have to go <eos>,43,31
i really have to go.,why? i still wanted to talk to you.,i really have to go,<sos> why i still wanted to talk to you <eos>,why i still wanted to talk to you <eos>,19,45
